schedule,x_shots,pure_effective_information_per_block,optimal_schedule_block_fraction,mixed_effective_information_per_block,mixed_minimum_eigenvalue
ZZZZZZZX,1,0.00046873410689662887,0.08,0.0005212976250993928,0.00042678297965558117
ZZZZZZXZ,1,0.0004178298221608201,0.06,0.0005183486018495165,0.00042509987219615207
ZZZZZZXX,2,0.0004015368554814436,0.04,0.0005212990564309461,0.0004267842162508674
ZZZZZXZZ,1,0.0004172749861229841,0.06,0.0005182885521629599,0.000425030580314692
ZZZZZXZX,2,0.0004286944704952611,0.05,0.0005236958329621344,0.0004289867022525696
ZZZZZXXZ,2,0.000345974856700626,0.035,0.0005196680090265304,0.0004257948658448786
ZZZZZXXX,3,0.00041172175511314246,0.04,0.0005243255653032408,0.0004290658833969157
ZZZZXZZZ,1,0.00041787272221660565,0.06,0.0005183200811487709,0.0004250556977435701
ZZZZXZZX,2,0.0003469381851750608,0.035,0.0005197025924915111,0.00042582476531699553
ZZZZXZXZ,2,0.00035784601894861545,0.04,0.0005217188868922862,0.00042770713307662897
ZZZZXZXX,3,0.0003460225708670772,0.03,0.0005228574526857099,0.00042820968071199256
ZZZZXXZZ,2,0.0003462023705657624,0.035,0.000519649411026557,0.0004257676150547715
ZZZZXXZX,3,0.00034571972802480144,0.03,0.0005228138174957486,0.0004281630896098808
ZZZZXXXZ,3,0.0003454844344682184,0.03,0.0005227957074067091,0.00042814582864528043
ZZZZXXXX,4,0.0004016173710828519,0.045,0.0005266047558288856,0.00043102625302803254
ZZZXZZZZ,1,0.00042154669670541045,0.06,0.0005185414576805991,0.00042524719839515286
ZZZXZZZX,2,0.000351765089602718,0.035,0.0005198677580091071,0.0004259662269294733
ZZZXZZXZ,2,0.00028609379939020796,0.03,0.0005184555397830248,0.00042518369529277733
ZZZXZZXX,3,0.00027321877551833573,0.025,0.0005203171351936264,0.0004261894100541022
ZZZXZXZZ,2,0.00036107683852570904,0.04,0.0005218396590209173,0.0004278001552310805
ZZZXZXZX,3,0.0003335042177805003,0.04,0.0005248996233167547,0.0004301426909936075
ZZZXZXXZ,3,0.00026909613308515046,0.025,0.0005216463004366623,0.000427507769243881
ZZZXZXXX,4,0.00032420058434667887,0.035,0.0005251313423608184,0.0004299780172359155
ZZZXXZZZ,2,0.0003503916686276587,0.035,0.0005197871836593038,0.0004258859719711173
ZZZXXZZX,3,0.0002733122157884682,0.025,0.0005202924740377868,0.00042616050700863134
ZZZXXZXZ,3,0.0002691605215086046,0.025,0.0005216431682119604,0.00042750464489297625
ZZZXXZXX,4,0.000258120630241776,0.025,0.0005224942725564063,0.00042776540014679773
ZZZXXXZZ,3,0.0003495573465284174,0.03,0.0005228916583948084,0.0004282196904334002
ZZZXXXZX,4,0.000324552174577164,0.035,0.0005250958457131971,0.0004299369176683581
ZZZXXXXZ,4,0.00032363034640328636,0.03,0.0005250461973007048,0.0004298945468286172
ZZZXXXXX,5,0.0003719729222182444,0.07,0.0005291496564773235,0.0004339575908944321
ZZXZZZZZ,1,0.00043337961397826863,0.065,0.0005192937039287249,0.0004257900598455683
ZZXZZZZX,2,0.0003630109787787772,0.035,0.0005202502735303094,0.000426296344364566
