basis_angle,fixed_effective_information,alternating_effective_information,block_mixture_effective_information,fixed_minimum_eigenvalue,alternating_minimum_eigenvalue,block_mixture_minimum_eigenvalue
0.008,4.862799052318678e-11,5.0001743301386625e-09,5.457875706937898e-09,2.7617403159655026e-11,2.838580173810852e-09,3.097078886947479e-09
0.00999121047708712,1.183636522128495e-10,1.2157689188718734e-08,1.3277612065376587e-08,6.718264711898871e-11,6.903659182508635e-09,7.534391283785899e-09
0.012478035849681931,2.879383953491299e-10,2.9551299074448423e-08,3.229977046936838e-08,1.6340504385670775e-10,1.6787264866583948e-08,1.8328758100055268e-08
0.01558383531435135,7.00308588896803e-10,7.179156324976788e-08,7.856773098779968e-08,3.9735593535825414e-10,4.0809160969447204e-08,4.458598835821333e-08
0.019462672333243423,1.7025779119883566e-09,1.7425937115511658e-07,1.9108169374559836e-07,9.659628239520388e-10,9.916058865673986e-08,1.0844958141114557e-07
0.02430695696600192,4.137258313718917e-09,4.2237264830102816e-07,4.64553254864164e-07,2.3471496848506416e-09,2.4076990003267796e-07,2.637473826634837e-07
0.030356990388103015,1.0046996290480337e-08,1.0212328639402912e-06,1.128472226163968e-06,5.699204596395898e-09,5.839003495854499e-07,6.41221103772496e-07
0.037912885052305965,2.437334639671107e-08,2.4583973881608934e-06,2.7359235312829355e-06,1.3823340808635483e-08,1.413123496246663e-06,1.5578597448940221e-06
0.047349451793899856,5.903437272358758e-08,5.870455426992827e-06,6.602879946360218e-06,3.347150480874991e-08,3.407550821064855e-06,3.7790832505097914e-06
0.05913479235594298,1.4263254410895598e-07,1.3803960703495655e-05,1.5764884914448718e-05,8.083388925420687e-08,8.161745337063729e-06,9.1353298064653e-06
0.07385351961838361,3.4328901615809926e-07,3.150417287950402e-05,3.67137940328055e-05,1.9441827528254574e-07,1.9292740940162135e-05,2.1900170227733667e-05
0.09223575737261915,8.213073381391212e-07,6.792710631675636e-05,8.093569713946147e-05,4.6465889858191746e-07,4.4358971946989836e-05,5.14263179522777e-05
0.11519335817792226,1.9468350291318437e-06,0.00013251849221651568,0.000160179296705254,1.0997599621936746e-06,9.586817166432761e-05,0.00011433306862014916
0.1438651358897632,4.549224638383809e-06,0.00022264434395291577,0.00026703228991475925,2.564339450900549e-06,0.00018069007514648464,0.00021952593911154876
0.17967335662367057,1.0398563238034342e-05,0.00031414694947595745,0.0003645912976299459,5.845282408015736e-06,0.00027083173397833804,0.00031868073184667533
0.22439429039397837,2.2977617819497365e-05,0.00037973072088276494,0.00042258316533555496,1.2878737628292188e-05,0.00032762128994385197,0.00036442976548255743
0.28024632314785586,4.819666378641507e-05,0.0004113070578986022,0.00044344225192832765,2.6988153895293783e-05,0.000351133337463996,0.0003757417891298929
0.35,9.32176227340098e-05,0.00041503599611070197,0.00044431737253175507,5.259105649315503e-05,0.00035395130315767596,0.00037429075197194586
