protocol,total_binary_readouts,independent_units,parameter,replicates,predicted_sd,empirical_sd,bias,rmse,mean_reported_se,wald_95_coverage,boundary_fraction,converged_fraction,wald_coverage_monte_carlo_95_interval
internal_basis,1000000,125000,temperature,96,0.12073612746506517,0.12458892766924758,0.03484526490871021,0.12874355016198957,0.14356663917197812,0.9791666666666666,0.0,0.9375,"[0.9271928648221579, 0.9942680301475697]"
internal_basis,1000000,125000,memory_angle,96,0.059646442595477946,0.0603026000717787,-0.004935341603354268,0.060190381027603504,0.06025169130730614,0.9583333333333334,0.0,0.9375,"[0.8977180853334191, 0.9836792924637118]"
internal_basis,1000000,125000,false_positive,96,0.00865731001848075,0.008262124426586824,-0.0016954814905473462,0.008392037162280907,0.009354134063602382,0.9791666666666666,0.0625,0.9375,"[0.9271928648221579, 0.9942680301475697]"
internal_basis,1000000,125000,false_negative,96,0.008844677498583791,0.00855903891110078,-0.0018936499405631376,0.008722382810736442,0.009537622499677819,0.9791666666666666,0.0,0.9375,"[0.9271928648221579, 0.9942680301475697]"
internal_basis,8000000,1000000,temperature,96,0.04268666723237547,0.045743112898707645,0.0019249482568799864,0.04554494080416521,0.04326597718401526,0.9479166666666666,0.0,1.0,"[0.8838152196850738, 0.9775503995257587]"
internal_basis,8000000,1000000,memory_angle,96,0.021088202016458297,0.020564866991018595,0.00027993720299626597,0.020459393138312014,0.021123320247886903,0.9583333333333334,0.0,1.0,"[0.8977180853334191, 0.9836792924637118]"
internal_basis,8000000,1000000,false_positive,96,0.0030608213104509866,0.0032084567975578463,-4.02773740841054e-05,0.0031919564675155837,0.0030786068583976574,0.9479166666666666,0.0,1.0,"[0.8838152196850738, 0.9775503995257587]"
internal_basis,8000000,1000000,false_negative,96,0.0031270657183283344,0.003308997660820715,-6.0030064417097686e-05,0.0032922655110816925,0.0031448054863648903,0.9583333333333334,0.0,1.0,"[0.8977180853334191, 0.9836792924637118]"
external_references,1000000,304375,temperature,96,0.01129758401345462,0.011393381770307978,0.000565349678816616,0.011347977343853661,0.011300271916219929,0.9479166666666666,0.0,1.0,"[0.8838152196850738, 0.9775503995257587]"
external_references,1000000,304375,memory_angle,96,0.02744221970600287,0.028143993363001794,-0.0033151328836301696,0.028192615871494457,0.02772972788541772,0.9479166666666666,0.0,1.0,"[0.8838152196850738, 0.9775503995257587]"
external_references,1000000,304375,false_positive,96,0.0003253205286178979,0.00032353585826599957,-4.203869096789223e-06,0.00032187381815234283,0.00032527537721099863,0.96875,0.0,1.0,"[0.9121132067546303, 0.989315929628799]"
external_references,1000000,304375,false_negative,96,0.0013856406460551018,0.001378810410438334,0.00011302083366503774,0.001376258893789427,0.0013872944639682753,0.9375,0.0,1.0,"[0.8702905349355852, 0.9710433256889488]"
external_references,8000000,2435000,temperature,96,0.003994299133469247,0.004145909985131719,-0.00010566103051351759,0.004125613440221213,0.003993170457295446,0.9270833333333334,0.0,1.0,"[0.8570696833485983, 0.9642324186896375]"
external_references,8000000,2435000,memory_angle,96,0.009702289822462866,0.009241361599450947,-0.0005658808025744486,0.00921050341552092,0.00971935545740453,0.96875,0.0,1.0,"[0.9121132067546303, 0.989315929628799]"
external_references,8000000,2435000,false_positive,96,0.00011501817592245396,0.00010564185609233377,5.1789208932380365e-06,0.00010521773081852385,0.00011503244520063702,0.96875,0.0,1.0,"[0.9121132067546303, 0.989315929628799]"
external_references,8000000,2435000,false_negative,96,0.0004898979485566356,0.000491971831375963,-2.727864584662778e-05,0.0004901624180889186,0.0004897278683308419,0.9479166666666666,0.0,1.0,"[0.8838152196850738, 0.9775503995257587]"
