grid_index,protocol,total_binary_readouts,independent_units,temperature,memory_angle,false_positive,false_negative,fisher_rank,fisher_condition_number,linear_replicates,linear_physical_fraction,linear_negative_assignment_fraction,exact_mle_replicates,mle_converged_fraction,mle_mean_iterations,fisher_sd_T,linear_coverage_T,linear_bias_T,linear_empirical_sd_T,mle_coverage_T,mle_coverage_wilson_low_T,mle_coverage_wilson_high_T,mle_bias_T,mle_empirical_sd_T,mle_rmse_T,mle_mean_reported_se_T,mle_boundary_fraction_T,fisher_sd_mu,linear_coverage_mu,linear_bias_mu,linear_empirical_sd_mu,mle_coverage_mu,mle_coverage_wilson_low_mu,mle_coverage_wilson_high_mu,mle_bias_mu,mle_empirical_sd_mu,mle_rmse_mu,mle_mean_reported_se_mu,mle_boundary_fraction_mu,fisher_sd_alpha,linear_coverage_alpha,linear_bias_alpha,linear_empirical_sd_alpha,mle_coverage_alpha,mle_coverage_wilson_low_alpha,mle_coverage_wilson_high_alpha,mle_bias_alpha,mle_empirical_sd_alpha,mle_rmse_alpha,mle_mean_reported_se_alpha,mle_boundary_fraction_alpha,fisher_sd_beta,linear_coverage_beta,linear_bias_beta,linear_empirical_sd_beta,mle_coverage_beta,mle_coverage_wilson_low_beta,mle_coverage_wilson_high_beta,mle_bias_beta,mle_empirical_sd_beta,mle_rmse_beta,mle_mean_reported_se_beta,mle_boundary_fraction_beta
0,external_references,8000000,2435000,0.6,0.2,0.005,0.01,4,395354.35964435025,2000,1.0,0.0,24,1.0,2.4166666666666665,0.0016389298083634015,0.949,-4.415571874315877e-05,0.0016475098374943236,0.9166666666666666,0.741511978067893,0.9768411847029567,-1.1747533203751437e-05,0.0019308815668949042,0.001890263379934206,0.0016391970594373962,0.0,0.030386027172187406,0.947,-0.0009766733055321197,0.030938837931058512,0.9166666666666666,0.741511978067893,0.9768411847029567,-0.002476690419148178,0.037509820813127016,0.036803480933268976,0.03195580274702036,0.0,5.7978184261870145e-05,0.9495,2.6087744522255943e-07,5.785807988564189e-05,0.9583333333333334,0.7975819352134406,0.9926065438344942,7.333692019959558e-08,4.859929684338485e-05,4.7576095675654085e-05,5.797791521681408e-05,0.0,0.000248746859276655,0.946,-3.7437500048977634e-06,0.000254003416098878,0.9166666666666666,0.741511978067893,0.9768411847029567,5.0520833352563176e-05,0.0002581018493964608,0.00025766883604787374,0.00024934789507799086,0.0
0,internal_basis,8000000,1000000,0.6,0.2,0.005,0.01,4,3235204.8059945903,2000,0.5515,0.396,24,0.5416666666666666,4.958333333333333,0.1565029072171233,0.952,-0.0012660306765178448,0.16034126892742234,1.0,0.8620237953250198,1.0,-0.06491402620538983,0.1099660822550776,0.12570805162274118,0.44274075688551306,0.041666666666666664,0.0635944697356985,0.9415,0.00067129942584089,0.06426676854729943,1.0,0.8620237953250198,1.0,0.018491537421064613,0.07343432217530044,0.07422833001276789,0.19534009596547655,0.0,0.017195054655644568,0.9525,0.00014222091506234296,0.01761511796594617,1.0,0.8620237953250198,1.0,0.00809372922454848,0.013388666874916336,0.015404409652839035,0.044284483177284006,0.375,0.017207038371869827,0.953,0.00014768052346807276,0.01763197778318245,1.0,0.8620237953250198,1.0,0.007625037146281749,0.013142102786002073,0.014955253404242596,0.04429671891324913,0.0
1,external_references,8000000,2435000,0.6,0.2,0.005,0.04,4,422892.00016526104,2000,1.0,0.0,24,1.0,2.5416666666666665,0.0016938409071761819,0.9525,-9.031626156435657e-06,0.001714172975530836,0.9583333333333334,0.7975819352134406,0.9926065438344942,0.00036676671559444,0.00152196028379104,0.0015343942777891262,0.0016924727047786933,0.0,0.03130115821463532,0.9545,-0.0008290716568736283,0.03132940132441958,1.0,0.8620237953250198,1.0,-0.0070097967923840425,0.028747474032007177,0.029002076850757418,0.033099837959777216,0.0,5.7978182217023384e-05,0.948,-2.166139585504801e-06,5.7799924536149834e-05,0.9583333333333334,0.7975819352134406,0.9926065438344942,-1.7482474967577797e-05,5.268211842836814e-05,5.445549222075828e-05,5.787645781317328e-05,0.0,0.0004898979485566356,0.9495,2.201562497300138e-05,0.0004902372173944977,1.0,0.8620237953250198,1.0,5.807291630328514e-05,0.0003139936002621842,0.00031282014865575654,0.0004902346991673513,0.0
1,internal_basis,8000000,1000000,0.6,0.2,0.005,0.04,4,3639778.9805852654,2000,0.54,0.4075,24,0.625,4.708333333333333,0.16394772681503517,0.951,0.005903197837364016,0.16626863476362996,1.0,0.8620237953250198,1.0,-0.05116668219231571,0.10317261057482023,0.113221431086133,0.6146445516709691,0.041666666666666664,0.0667496454819735,0.9515,-0.0025284482744161074,0.06703967694545605,1.0,0.8620237953250198,1.0,0.00544787781180447,0.07252024630304343,0.07120205573820078,0.1948204315640962,0.0,0.017465829848189937,0.9505,-0.0006346312910916106,0.017712561289261887,1.0,0.8620237953250198,1.0,0.006451740781549826,0.012320926969451005,0.013678632318611104,0.06015837548786466,0.3333333333333333,0.0174775501277991,0.953,-0.0006370169140753501,0.01773130193844234,1.0,0.8620237953250198,1.0,0.005377905484587514,0.011458117793964512,0.0124394524855668,0.06016944281196839,0.0
2,external_references,8000000,2435000,0.6,0.2,0.005,0.12,4,511436.6176252124,2000,1.0,0.0,24,1.0,2.5416666666666665,0.0018541946506232974,0.953,2.1334149986342976e-05,0.0018166946387713912,0.9583333333333334,0.7975819352134406,0.9926065438344942,0.00036218808034343963,0.0015375579229887605,0.0015481476211316697,0.001854160229620305,0.0,0.03402328134278049,0.947,0.00035846768849971336,0.03365233058748467,0.9166666666666666,0.741511978067893,0.9768411847029567,-0.004792697154476874,0.04221837169320568,0.04160642458309933,0.03700123803345344,0.0,5.797817656217726e-05,0.948,6.097022982280913e-07,5.783433227863521e-05,0.9166666666666666,0.741511978067893,0.9768411847029567,-2.0576389147256317e-05,6.188208050899685e-05,6.397829071742132e-05,5.785824257135259e-05,0.0,0.0008124038404635959,0.9515,3.3687499553748943e-06,0.0008038139013591945,0.9583333333333334,0.7975819352134406,0.9926065438344942,3.359374879590912e-05,0.0006897906822466385,0.0006761022550011824,0.0008124978853012639,0.0
2,internal_basis,8000000,1000000,0.6,0.2,0.005,0.12,4,5017082.89402042,2000,0.528,0.3915,24,0.5,5.083333333333333,0.18588375540101937,0.9495,0.0014885447074888592,0.18505610198221406,1.0,0.8620237953250198,1.0,-0.0769800898601165,0.12736897271706848,0.14653612914709654,2.430784279598062,0.08333333333333333,0.07583854090325018,0.9455,-0.001259562429745405,0.07524900695770143,1.0,0.8620237953250198,1.0,0.0033030240588111264,0.08872949086804688,0.08692407076331013,0.3912780359906165,0.0,0.01814660269648774,0.9505,-0.0001480540091456132,0.01806725589330651,0.9583333333333334,0.7975819352134406,0.9926065438344942,0.011305562995960314,0.01806752492465243,0.02099165868119069,0.2456336038054976,0.2916666666666667,0.018157606246230702,0.9475,-0.00015505683817353463,0.01806028800863204,0.9583333333333334,0.7975819352134406,0.9926065438344942,0.005962023478878811,0.012637493630801544,0.013733082041008211,0.24564327815282908,0.0
3,external_references,8000000,2435000,0.6,0.2,0.02,0.01,4,260582.83214890008,2000,1.0,0.0,24,1.0,2.375,0.0021958559824477313,0.953,-2.1516109019893704e-05,0.002148283243715902,0.9583333333333334,0.7975819352134406,0.9926065438344942,-2.9672028493997932e-05,0.0021288678025779273,0.002084255733291634,0.0021963641470876985,0.0,0.038333228774057815,0.956,-0.0003906846685515908,0.0372650944205965,1.0,0.8620237953250198,1.0,0.0002564329312503717,0.025300189769613526,0.024768822003900737,0.03890469069953342,0.0,0.00011507850454806213,0.9585,1.16589781568259e-06,0.00011302801598902985,0.8333333333333334,0.6414692935030095,0.9332132367136705,-6.807564955721406e-06,0.0001561934842182443,0.00015305629878637744,0.00011505834651789318,0.0,0.000248746859276655,0.953,4.515625002921681e-06,0.00024782125698930913,0.9166666666666666,0.741511978067893,0.9768411847029567,7.89062500854847e-05,0.000213741677016567,0.00022362499437487653,0.0002497027165575086,0.0
3,internal_basis,8000000,1000000,0.6,0.2,0.02,0.01,4,3358349.4683786095,2000,0.6245,0.3035,24,0.7083333333333334,4.083333333333333,0.18238352216782447,0.952,-0.0006363015983765787,0.1856928681303122,1.0,0.8620237953250198,1.0,-0.03176326764673743,0.16190078584948087,0.16164346139317262,0.29592785862643983,0.08333333333333333,0.06815856559019697,0.9555,-0.0001376546140906057,0.0676093746849813,1.0,0.8620237953250198,1.0,0.025714581206593118,0.08176284646038315,0.08407053162105606,0.16676764705655964,0.0,0.01969991666407764,0.952,6.670868443707783e-05,0.020049708517993644,0.9583333333333334,0.7975819352134406,0.9926065438344942,0.004640902786598354,0.017408526586305182,0.017662599185887962,0.028620488536821646,0.125,0.019710473717517173,0.9515,6.3529466060989e-05,0.020061042119814788,0.9583333333333334,0.7975819352134406,0.9926065438344942,0.006030744626592599,0.01573785524490621,0.016544786635258546,0.028630644318899164,0.20833333333333334
4,external_references,8000000,2435000,0.6,0.2,0.02,0.04,4,282290.2571116163,2000,1.0,0.0,24,1.0,2.625,0.0022735421228265293,0.946,6.170332408376327e-05,0.0022768449944417057,0.9166666666666666,0.741511978067893,0.9768411847029567,-0.0008731212582981281,0.0023651541839002127,0.0024745128036804723,0.002269583517255182,0.0,0.03967697048780342,0.952,-0.00022314686916234688,0.03968758143279793,1.0,0.8620237953250198,1.0,-0.00896676044961081,0.03733383929051997,0.037631671514261916,0.04338440334635732,0.0,0.00011507850284622512,0.9555,-3.943229691341272e-06,0.00011535030250447523,0.9166666666666666,0.741511978067893,0.9768411847029567,4.171692477864655e-05,0.00011257800963230833,0.00011783902037056257,0.00011519552074269317,0.0,0.0004898979485566356,0.9395,7.81874999864847e-06,0.0004999129175708274,0.9166666666666666,0.741511978067893,0.9768411847029567,-9.166666704634185e-05,0.000491720396681029,0.0004900175372761611,0.000489349999238347,0.0
4,internal_basis,8000000,1000000,0.6,0.2,0.02,0.04,4,3791738.345802593,2000,0.766,0.158,24,0.6666666666666666,4.041666666666667,0.19203562427584153,0.946,0.002984674897974698,0.19405039649361655,1.0,0.8620237953250198,1.0,0.01819497053336723,0.16279084742029978,0.16039861114227358,0.3852452484518994,0.08333333333333333,0.07188516605489413,0.949,0.0003612782368901952,0.07202894029350196,1.0,0.8620237953250198,1.0,0.01253514527508822,0.08401107779069562,0.08319202791718557,0.13659622432226767,0.0,0.020102523900296296,0.9455,-0.00030843252618791754,0.020312324182116443,1.0,0.8620237953250198,1.0,1.105754570765153e-05,0.01778884282355264,0.01741430243301943,0.03388786640543775,0.25,0.020112810323012136,0.945,-0.00031616370472918636,0.020316125640981342,1.0,0.8620237953250198,1.0,-0.0011315946710612472,0.019306454639083936,0.01893380304156531,0.03389764670788508,0.0
