point,protocol,prior,temperature,memory_angle,false_positive,false_negative,posterior_mean_T,posterior_sd_T,posterior_ci_low_T,posterior_ci_high_T,true_T_covered,mean_shift_in_baseline_sd,sd_ratio_to_baseline,importance_ess,importance_ess_fraction,maximum_normalized_weight
central,internal_basis,uniform_wide,0.9,0.5,0.02,0.04,0.8936002254117966,0.03801547195885129,0.8200507461211322,0.9681395745356808,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
central,internal_basis,log_temperature,0.9,0.5,0.02,0.04,0.8919814043820233,0.03799945072735414,0.8183717669788942,0.967591865256153,True,-0.042583215368877485,0.9995785602368821,15970.955113367785,0.9981846945854865,6.965138919979528e-05
central,internal_basis,low_error_beta_1_10,0.9,0.5,0.02,0.04,0.895538855233083,0.0380143422487172,0.8216643516816701,0.9689462118072102,True,0.05099581095257093,0.9999702828854705,15957.374328486701,0.9973358955304188,7.189016721183091e-05
central,internal_basis,jeffreys_assignment,0.9,0.5,0.02,0.04,0.89737263462851,0.03817686094691526,0.822715668342926,0.9714305333651232,True,0.09923352315069855,1.0042453501100463,15839.081957264536,0.9899426223290335,8.520759442926156e-05
central,internal_basis,restricted_support,0.9,0.5,0.02,0.04,0.8936002254117966,0.03801547195885129,0.8200507461211322,0.9681395745356808,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
central,external_references,uniform_wide,0.9,0.5,0.02,0.04,0.8975987634640334,0.004091215081419227,0.8896788173546073,0.9059410365140484,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
central,external_references,log_temperature,0.9,0.5,0.02,0.04,0.8975801206454308,0.0040906507268723006,0.8896698673519357,0.905893460774562,True,-0.0045567925986859025,0.9998620569841244,15999.66776356909,0.9999792352230682,6.354505460017188e-05
central,external_references,low_error_beta_1_10,0.9,0.5,0.02,0.04,0.8975984052061934,0.004090875754723186,0.8896759825865808,0.9059410365140484,True,-8.756758882899842e-05,0.9999170596780448,15999.64655543558,0.9999779097147238,6.343946155782724e-05
central,external_references,jeffreys_assignment,0.9,0.5,0.02,0.04,0.8976010727470987,0.004090766363908115,0.8896865925431114,0.9059410365140484,True,0.0005644491964511845,0.999890321700966,15999.326208437471,0.999957888027342,6.388594894030402e-05
central,external_references,restricted_support,0.9,0.5,0.02,0.04,0.8975987634640334,0.004091215081419227,0.8896788173546073,0.9059410365140484,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
cold_clean_high_memory,internal_basis,uniform_wide,0.6,0.9,0.005,0.01,0.5952578271916611,0.005462772585312096,0.5850328366005672,0.6062340955607162,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
cold_clean_high_memory,internal_basis,log_temperature,0.6,0.9,0.005,0.01,0.5952077256271315,0.0054608459302274304,0.5850289964729085,0.6062210558131504,True,-0.009171453460147373,0.9996473118632385,15998.654043117853,0.9999158776948658,6.451696576120982e-05
cold_clean_high_memory,internal_basis,low_error_beta_1_10,0.6,0.9,0.005,0.01,0.5953129032964305,0.005465448235136019,0.5851407646591361,0.6062616891379868,True,0.010082079000961384,1.0004897970366031,15997.552005452666,0.9998470003407917,6.546734507434352e-05
cold_clean_high_memory,internal_basis,jeffreys_assignment,0.6,0.9,0.005,0.01,0.5957408145276999,0.005509561754701397,0.5854350537852554,0.606662064458503,True,0.08841432230538376,1.0085650955917704,15833.149856165941,0.9895718660103713,9.726069260932859e-05
cold_clean_high_memory,internal_basis,restricted_support,0.6,0.9,0.005,0.01,0.5952578271916611,0.005462772585312096,0.5850328366005672,0.6062340955607162,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
cold_clean_high_memory,external_references,uniform_wide,0.6,0.9,0.005,0.01,0.5994262019585191,0.0018342163751050432,0.5956916618138687,0.6029623023429317,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
