schedule,x_readouts,pure_effective_information_per_block,optimal_complementary_block_fraction,mixed_effective_information_per_block,mixed_minimum_eigenvalue
ZZZZZZ,0,0.0,0.32,3.314015728506092e-14,-1.0392578822336776e-16
ZZZZZX,1,0.0004938462509691266,0.060700000000000004,0.0006486687012557668,0.0006115537852413727
ZZZZXZ,1,0.0004438143390532445,0.0504,0.0006450005620269594,0.0006087242510480935
ZZZZXX,2,0.00032056663313159706,0.032049999999999995,0.0006495932389855297,0.0006124698715220395
ZZZXZZ,1,0.00043232861481251605,0.049350000000000005,0.000644538798943689,0.0006085295616669699
ZZZXZX,2,0.00033624332244436284,0.029599999999999998,0.0006483796455629409,0.0006115728389985697
ZZZXXZ,2,0.0003110238002316523,0.028249999999999997,0.0006473018537710429,0.0006107816540607443
ZZZXXX,3,0.00021299884772704725,0.023200000000000002,0.0006510748491977414,0.0006138499237751914
ZZXZZZ,1,0.00040723059415628815,0.04725,0.0006435814703932841,0.0006077485764615226
ZZXZZX,2,0.00026432170903945007,0.02655,0.0006460558886622336,0.0006096216567449061
ZZXZXZ,2,0.0002637519373328845,0.026600000000000002,0.0006463371739238444,0.0006099969998353792
ZZXZXX,3,0.00020445906390240132,0.0205,0.0006489975564711592,0.0006121221447153366
ZZXXZZ,2,0.00026417674124851187,0.02715,0.000646518651741923,0.0006102308189336533
ZZXXZX,3,0.00019546148089130688,0.02,0.0006485389695575772,0.0006117880918611387
ZZXXXZ,3,0.00021429570815190147,0.0208,0.0006492832163809414,0.0006125263123689453
ZZXXXX,4,0.00020473752665939315,0.0182,0.0006518049478271004,0.0006145444603146352
ZXZZZZ,1,0.0003946398953484642,0.04595,0.0006429345526128005,0.00060710984359931
ZXZZZX,2,0.0002662408981735642,0.02665,0.0006461446939796389,0.0006096701456019156
ZXZZXZ,2,0.0001784550469674795,0.0241,0.000644001549220008,0.0006079410142808342
ZXZZXX,3,0.00013034977853607077,0.01905,0.0006475179885127025,0.0006108371179560368
ZXZXZZ,2,0.000245417816797322,0.02645,0.0006462930290019597,0.0006100379123768762
ZXZXZX,3,0.00019286934679002554,0.019950000000000002,0.000648662895501223,0.000611906842973315
ZXZXXZ,3,0.00012818011806112195,0.01895,0.0006476260482006224,0.000611097104118101
ZXZXXX,4,0.00016330062155178737,0.0168,0.0006505970788664439,0.0006135227852299523
ZXXZZZ,2,0.00023260537385708102,0.0262,0.0006458024170110654,0.0006095733382173105
ZXXZZX,3,0.00012076238215244506,0.01865,0.0006471233415187017,0.0006105656224265794
ZXXZXZ,3,9.088062837780964e-05,0.0184,0.0006469936087996064,0.0006105338830985491
ZXXZXX,4,7.750101305586954e-05,0.0155,0.0006491185162079693,0.0006122489013536472
ZXXXZZ,3,0.00016962207090549797,0.0204,0.0006489948054462791,0.0006123336814237018
ZXXXZX,4,0.0001267876610232671,0.01645,0.00065026112009689,0.0006132852729447275
ZXXXXZ,4,0.00011431404528472466,0.0168,0.0006506140904890267,0.0006136577007723742
ZXXXXX,5,1.896276683185233e-05,0.0154,0.0006526979933691723,0.0006153303724001809
XZZZZZ,1,0.0004984654563980895,0.061,0.0006487541724554402,0.0006123064386912153
XZZZZX,2,0.00035350876841444556,0.030549999999999997,0.0006487616045324496,0.0006119748805492389
XZZZXZ,2,0.0002989476917306666,0.02865,0.0006475652104343532,0.0006111040307588723
XZZZXX,3,0.0002422229218463634,0.0218,0.0006499302758555814,0.0006129621754927331
XZZXZZ,2,0.0002509802094615987,0.027250000000000003,0.0006465923389427919,0.0006103487903285666
XZZXZX,3,0.00018045817960418709,0.02,0.0006485645959541375,0.0006118594622792004
